None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
57,AAPL,1981-03-06,25.87,25.87,25.63,25.63,51800.0,0.0,1.0,0.38036181021984,0.38036181021984,0.37683313474814,0.37683313474814,2900800.0
58,AAPL,1981-03-09,23.75,23.75,23.63,23.63,68400.0,0.0,1.0,0.34919184355319,0.34919184355319,0.34742750581735,0.34742750581735,3830400.0
59,AAPL,1981-03-10,22.63,22.63,22.5,22.5,126700.0,0.0,1.0,0.33272469135195,0.33272469135195,0.33081332547145,0.33081332547145,7095200.0
60,AAPL,1981-03-11,21.87,21.87,21.62,21.62,133300.0,0.0,1.0,0.32155055235825,0.32155055235825,0.3178748487419,0.3178748487419,7464800.0
61,AAPL,1981-03-12,22.5,22.63,22.5,22.5,264500.0,0.0,1.0,0.33081332547145,0.33272469135195,0.33081332547145,0.33081332547145,14812000.0
62,AAPL,1981-03-13,22.37,22.37,22.25,22.25,1032600.0,0.0,1.0,0.32890195959095,0.32890195959095,0.3271376218551,0.3271376218551,57825600.0
63,AAPL,1981-03-16,23.13,23.37,23.13,23.13,166200.0,0.0,1.0,0.34007609858465,0.34360477405634,0.34007609858465,0.34007609858465,9307200.0
64,AAPL,1981-03-17,24.25,24.5,24.25,24.25,195300.0,0.0,1.0,0.35654325078589,0.36021895440224,0.35654325078589,0.35654325078589,10936800.0
65,AAPL,1981-03-18,25.75,26.0,25.75,25.75,164900.0,0.0,1.0,0.37859747248399,0.38227317610034,0.37859747248399,0.37859747248399,9234400.0
66,AAPL,1981-03-19,25.63,25.63,25.5,25.5,168800.0,0.0,1.0,0.37683313474814,0.37683313474814,0.37492176886764,0.37492176886764,9452800.0
67,AAPL,1981-03-20,25.75,26.0,25.75,25.75,65200.0,0.0,1.0,0.37859747248399,0.38227317610034,0.37859747248399,0.37859747248399,3651200.0
68,AAPL,1981-03-23,26.75,27.0,26.75,26.75,98300.0,0.0,1.0,0.39330028694939,0.39697599056574,0.39330028694939,0.39330028694939,5504800.0
69,AAPL,1981-03-24,26.75,26.75,26.63,26.63,125700.0,0.0,1.0,0.39330028694939,0.39330028694939,0.39153594921354,0.39153594921354,7039200.0
70,AAPL,1981-03-25,26.37,26.37,26.13,26.13,31500.0,0.0,1.0,0.38771321745254,0.38771321745254,0.38418454198084,0.38418454198084,1764000.0
71,AAPL,1981-03-26,25.75,25.75,25.63,25.63,54800.0,0.0,1.0,0.37859747248399,0.37859747248399,0.37683313474814,0.37683313474814,3068800.0
72,AAPL,1981-03-27,24.88,24.88,24.75,24.75,54700.0,0.0,1.0,0.36580602389909,0.36580602389909,0.36389465801859,0.36389465801859,3063200.0
73,AAPL,1981-03-30,24.75,25.0,24.75,24.75,44200.0,0.0,1.0,0.36389465801859,0.36757036163494,0.36389465801859,0.36389465801859,2475200.0
74,AAPL,1981-03-31,24.75,24.75,24.5,24.5,71400.0,0.0,1.0,0.36389465801859,0.36389465801859,0.36021895440224,0.36021895440224,3998400.0
75,AAPL,1981-04-01,24.38,24.38,24.25,24.25,152100.0,0.0,1.0,0.35845461666639,0.35845461666639,0.35654325078589,0.35654325078589,8517600.0
76,AAPL,1981-04-02,26.37,26.5,26.37,26.37,140200.0,0.0,1.0,0.38771321745254,0.38962458333304,0.38771321745254,0.38771321745254,7851200.0
77,AAPL,1981-04-03,26.5,26.63,26.5,26.5,73600.0,0.0,1.0,0.38962458333304,0.39153594921354,0.38962458333304,0.38962458333304,4121600.0
78,AAPL,1981-04-06,26.13,26.13,26.0,26.0,101800.0,0.0,1.0,0.38418454198084,0.38418454198084,0.38227317610034,0.38227317610034,5700800.0
79,AAPL,1981-04-07,25.87,25.87,25.75,25.75,47700.0,0.0,1.0,0.38036181021984,0.38036181021984,0.37859747248399,0.37859747248399,2671200.0
80,AAPL,1981-04-08,27.0,27.25,27.0,27.0,98000.0,0.0,1.0,0.39697599056574,0.40065169418209,0.39697599056574,0.39697599056574,5488000.0
81,AAPL,1981-04-09,27.5,27.62,27.5,27.5,55800.0,0.0,1.0,0.40432739779844,0.40609173553428,0.40432739779844,0.40432739779844,3124800.0
82,AAPL,1981-04-10,27.88,28.0,27.88,27.88,149400.0,0.0,1.0,0.40991446729529,0.41167880503113,0.40991446729529,0.40991446729529,8366400.0
83,AAPL,1981-04-13,27.88,28.0,27.88,27.88,71700.0,0.0,1.0,0.40991446729529,0.41167880503113,0.40991446729529,0.40991446729529,4015200.0
