Symbol,Date,Close,High,Low,Open,Volume
IBM,2009-07-21,117.04,117.04,115.38,115.87,8228828
IBM,2009-07-22,115.57,117.2,115.09,116.18,8541490
IBM,2009-07-23,117.06,118.0,115.06,115.06,8258929
IBM,2009-07-24,117.64,118.15,116.63,116.68,6245691
IBM,2009-07-27,117.63,117.92,116.57,116.95,5063867
IBM,2009-07-28,117.28,117.52,116.34,116.63,5740436
IBM,2009-07-29,117.26,117.28,116.05,116.36,5035157
IBM,2009-07-30,117.86,119.37,117.67,118.0,6748871
IBM,2009-07-31,117.93,118.99,117.56,117.56,5299840
IBM,2009-08-03,119.92,119.96,118.69,118.88,6100895
IBM,2009-08-04,119.6,119.8,119.02,119.17,4979599
IBM,2009-08-05,118.47,119.0,117.86,118.515,4994138
IBM,2009-08-06,117.38,118.4,116.7,118.31,5996025
IBM,2009-08-07,119.33,119.91,118.11,118.11,5751765
IBM,2009-08-10,118.7,119.19,117.97,118.17,3931992
IBM,2009-08-11,117.79,118.5,117.32,118.03,4475216
IBM,2009-08-12,119.29,119.96,117.42,117.6,6249027
IBM,2009-08-13,119.58,119.78,118.63,119.28,5485589
IBM,2009-08-14,118.57,119.74,117.62,119.29,4655063
IBM,2009-08-17,116.86,117.44,116.21,116.69,5202204
IBM,2009-08-18,117.63,118.0,116.73,116.81,4268226
IBM,2009-08-19,118.57,118.77,116.12,116.36,4815820
IBM,2009-08-20,118.95,119.41,118.1,118.44,4837089
IBM,2009-08-21,119.9,120.01,118.55,119.65,8299321
IBM,2009-08-24,119.32,120.88,119.1,119.92,6359838
IBM,2009-08-25,118.83,120.15,118.71,119.25,4639976
IBM,2009-08-26,119.47,119.85,117.51,118.64,4512133
IBM,2009-08-27,119.43,119.59,117.85,118.73,4355433
IBM,2009-08-28,118.22,120.23,117.77,120.1,6223893
IBM,2009-08-31,118.05,118.06,116.92,117.1,5205808
IBM,2009-09-01,116.69,118.93,116.5,117.67,6117826
IBM,2009-09-02,116.09,117.24,116.0,116.34,4983722
IBM,2009-09-03,116.33,116.73,115.15,116.55,4936122
IBM,2009-09-04,117.46,117.5,116.21,116.58,3442784
IBM,2009-09-07,117.46,117.5,116.21,116.58,0
IBM,2009-09-08,117.16,118.17,116.63,117.94,5797728
IBM,2009-09-09,116.76,117.67,116.16,117.03,5248477
IBM,2009-09-10,117.67,117.83,116.75,116.99,4889568
IBM,2009-09-11,118.05,119.25,117.47,117.8,5893678
IBM,2009-09-14,118.88,118.99,116.94,117.0,4760207
IBM,2009-09-15,119.35,119.45,118.16,118.78,6535919
IBM,2009-09-16,121.82,122.0,119.3,119.5,11239737
IBM,2009-09-17,121.88,122.78,121.05,121.14,8394048
IBM,2009-09-18,122.11,122.88,121.62,122.45,9936586
IBM,2009-09-21,121.57,122.08,120.88,121.03,4516477
IBM,2009-09-22,121.61,122.11,120.98,122.09,5564648
IBM,2009-09-23,120.82,122.74,120.71,121.26,5539926
IBM,2009-09-24,120.94,121.65,120.4,120.69,5427378
IBM,2009-09-25,121.08,121.65,120.1,120.27,5187894
IBM,2009-09-28,119.33,122.0,118.94,120.52,8250073
IBM,2009-09-29,118.81,119.94,118.6,119.36,6748992
IBM,2009-09-30,119.61,120.0,117.55,119.18,7733205
IBM,2009-10-01,117.9,119.61,117.56,119.39,7070015
IBM,2009-10-02,119.02,119.66,117.26,117.4,7585296
IBM,2009-10-05,119.75,120.18,118.13,118.9,5673472
IBM,2009-10-06,121.35,121.59,120.22,120.39,6659151
IBM,2009-10-07,122.78,122.85,120.94,121.12,5967677
IBM,2009-10-08,122.29,122.98,121.85,122.52,6501378
IBM,2009-10-09,125.93,126.0,122.3,122.43,13123483
IBM,2009-10-12,127.04,127.1,125.2,125.44,7730425
IBM,2009-10-13,127.02,127.39,126.2,126.22,7582436
IBM,2009-10-14,128.35,128.61,126.6,127.71,9558486
IBM,2009-10-15,127.98,128.0,126.32,127.56,11952990
IBM,2009-10-16,121.64,123.7,121.25,123.15,19218945
IBM,2009-10-19,123.06,123.36,121.61,121.76,7514034
IBM,2009-10-20,122.82,123.5,121.5,123.36,8780912
IBM,2009-10-21,120.87,124.11,120.86,122.18,7175154
IBM,2009-10-22,122.69,123.0,120.34,120.75,6029228
IBM,2009-10-23,120.36,123.06,120.0,122.95,6799823
IBM,2009-10-26,120.11,122.44,119.55,120.61,6539803
IBM,2009-10-27,120.65,122.14,119.15,120.18,9445982
IBM,2009-10-28,121.5,121.68,119.87,120.47,8782409
IBM,2009-10-29,122.87,123.03,121.6,122.15,6309369
IBM,2009-10-30,120.61,124.3,120.48,122.63,7716347
IBM,2009-11-02,120.56,121.93,119.5,120.77,7050252
IBM,2009-11-03,121.16,121.19,119.53,119.53,5720434
